epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
140,1.3281,0.93441,0.9224,0.46921,0.37239,0.37457,0.21604,1.2851,0.92759,0.91298,0.0072478,0.0072478,0.0072478
141,1.3241,0.93159,0.92226,0.47047,0.37085,0.37471,0.21639,1.2845,0.92723,0.9129,0.007228,0.007228,0.007228
142,1.3256,0.93306,0.92064,0.46858,0.37224,0.37531,0.21675,1.2839,0.92677,0.91256,0.0072082,0.0072082,0.0072082
143,1.3214,0.93059,0.9199,0.46884,0.37264,0.37556,0.217,1.283,0.92619,0.91217,0.0071884,0.0071884,0.0071884
144,1.3221,0.92985,0.91983,0.4652,0.37459,0.37539,0.21716,1.2821,0.92553,0.91184,0.0071686,0.0071686,0.0071686
145,1.3202,0.9275,0.91903,0.46265,0.37605,0.37599,0.21746,1.2821,0.9251,0.91181,0.0071488,0.0071488,0.0071488
146,1.3245,0.92893,0.92154,0.46556,0.37572,0.37614,0.21726,1.2814,0.92479,0.91163,0.007129,0.007129,0.007129
147,1.3129,0.92617,0.91737,0.46665,0.37698,0.3768,0.21768,1.2812,0.92435,0.91148,0.0071092,0.0071092,0.0071092
148,1.321,0.92378,0.91872,0.46384,0.37836,0.37724,0.21802,1.2803,0.92348,0.911,0.0070894,0.0070894,0.0070894
149,1.3082,0.91789,0.91656,0.46412,0.37809,0.37719,0.21839,1.2802,0.92292,0.91089,0.0070696,0.0070696,0.0070696
150,1.3187,0.92475,0.91871,0.46092,0.37974,0.37819,0.21906,1.2797,0.92203,0.91076,0.0070498,0.0070498,0.0070498
151,1.3061,0.91783,0.91797,0.46253,0.37965,0.37832,0.21916,1.279,0.9216,0.91041,0.00703,0.00703,0.00703
152,1.3058,0.91576,0.91595,0.46478,0.37909,0.37864,0.21947,1.2782,0.921,0.91022,0.0070102,0.0070102,0.0070102
153,1.3186,0.92017,0.91817,0.46663,0.37738,0.37859,0.21956,1.2777,0.92054,0.91011,0.0069904,0.0069904,0.0069904
154,1.3056,0.91611,0.91595,0.46928,0.37752,0.37905,0.21976,1.2773,0.92016,0.91005,0.0069706,0.0069706,0.0069706
155,1.308,0.90956,0.91593,0.46925,0.37813,0.37894,0.21991,1.2768,0.91982,0.90995,0.0069508,0.0069508,0.0069508
156,1.3079,0.91359,0.91618,0.469,0.37847,0.3796,0.22016,1.2761,0.91919,0.90958,0.006931,0.006931,0.006931
157,1.3058,0.90956,0.91705,0.47133,0.37741,0.37978,0.22038,1.2758,0.91857,0.90941,0.0069112,0.0069112,0.0069112
158,1.303,0.91096,0.91356,0.4716,0.37683,0.38012,0.2207,1.2753,0.91773,0.90908,0.0068914,0.0068914,0.0068914
159,1.3054,0.90956,0.9175,0.47123,0.37651,0.38042,0.221,1.2744,0.9174,0.90889,0.0068716,0.0068716,0.0068716
160,1.3025,0.90945,0.91446,0.47185,0.37576,0.3802,0.221,1.2737,0.91672,0.90865,0.0068518,0.0068518,0.0068518
161,1.305,0.90812,0.91378,0.47843,0.37283,0.38074,0.22124,1.2731,0.91625,0.90835,0.006832,0.006832,0.006832
162,1.2997,0.90107,0.91366,0.47368,0.37651,0.38105,0.22151,1.273,0.91605,0.90821,0.0068122,0.0068122,0.0068122
163,1.3067,0.9067,0.91335,0.47967,0.37318,0.38106,0.22153,1.2723,0.91567,0.90796,0.0067924,0.0067924,0.0067924
164,1.2998,0.90623,0.91352,0.47698,0.37347,0.38113,0.22152,1.2717,0.91548,0.9077,0.0067726,0.0067726,0.0067726
165,1.2979,0.89789,0.91058,0.47821,0.37376,0.38183,0.22186,1.2718,0.91498,0.90763,0.0067528,0.0067528,0.0067528
166,1.3003,0.90416,0.9139,0.4813,0.37219,0.38175,0.22199,1.2716,0.91506,0.90744,0.006733,0.006733,0.006733
167,1.2963,0.89773,0.91227,0.47959,0.37269,0.38153,0.2222,1.2711,0.91481,0.90731,0.0067132,0.0067132,0.0067132
168,1.2925,0.89813,0.91151,0.47772,0.3747,0.38196,0.22203,1.2707,0.91462,0.90718,0.0066934,0.0066934,0.0066934
169,1.295,0.89744,0.91207,0.4774,0.37472,0.38206,0.22214,1.2702,0.91419,0.90698,0.0066736,0.0066736,0.0066736
170,1.2937,0.89585,0.91166,0.47713,0.37451,0.38245,0.22227,1.2698,0.9141,0.90682,0.0066538,0.0066538,0.0066538
171,1.2924,0.89747,0.91046,0.47862,0.37433,0.38246,0.22229,1.2697,0.91363,0.90667,0.006634,0.006634,0.006634
172,1.2883,0.89284,0.90873,0.47819,0.37557,0.38269,0.22254,1.2693,0.91326,0.90657,0.0066142,0.0066142,0.0066142
173,1.2918,0.89809,0.91313,0.47823,0.3756,0.38286,0.22259,1.2691,0.91311,0.90648,0.0065944,0.0065944,0.0065944
174,1.2922,0.88918,0.90904,0.47697,0.37677,0.38328,0.22269,1.2688,0.91281,0.90635,0.0065746,0.0065746,0.0065746
175,1.2912,0.8919,0.90943,0.47635,0.37666,0.38331,0.22293,1.2686,0.91234,0.90622,0.0065548,0.0065548,0.0065548
176,1.2881,0.89041,0.90937,0.47687,0.37684,0.38344,0.22303,1.2682,0.91211,0.90622,0.006535,0.006535,0.006535
177,1.2925,0.89159,0.91058,0.47858,0.37592,0.38352,0.2232,1.2679,0.91175,0.90618,0.0065152,0.0065152,0.0065152
178,1.2833,0.88496,0.90827,0.47797,0.37648,0.38356,0.22311,1.2676,0.91155,0.90606,0.0064954,0.0064954,0.0064954
179,1.2873,0.88654,0.90864,0.47756,0.37649,0.38386,0.2233,1.2676,0.91137,0.90609,0.0064756,0.0064756,0.0064756
180,1.2866,0.88657,0.90821,0.4743,0.37808,0.38386,0.22346,1.2675,0.91126,0.90597,0.0064558,0.0064558,0.0064558
181,1.2845,0.88774,0.90868,0.47588,0.37682,0.38354,0.22332,1.2671,0.91114,0.90594,0.006436,0.006436,0.006436
182,1.2761,0.87805,0.9085,0.47679,0.37686,0.38373,0.2236,1.2668,0.91056,0.90581,0.0064162,0.0064162,0.0064162
183,1.2831,0.88194,0.90851,0.47865,0.37639,0.38401,0.22351,1.2666,0.91037,0.90575,0.0063964,0.0063964,0.0063964
184,1.2805,0.87794,0.90655,0.47871,0.37637,0.38354,0.22346,1.266,0.91003,0.90565,0.0063766,0.0063766,0.0063766
185,1.2849,0.88182,0.90789,0.47909,0.37631,0.38405,0.22369,1.266,0.90998,0.90567,0.0063568,0.0063568,0.0063568
186,1.2818,0.8822,0.90819,0.47976,0.37609,0.38408,0.22366,1.2655,0.90966,0.90549,0.006337,0.006337,0.006337
187,1.2831,0.88061,0.90848,0.47997,0.37632,0.38425,0.22375,1.2652,0.90987,0.90543,0.0063172,0.0063172,0.0063172
188,1.281,0.88331,0.90753,0.47853,0.37706,0.38438,0.22381,1.2646,0.9094,0.90533,0.0062974,0.0062974,0.0062974
189,1.2753,0.87609,0.90759,0.48011,0.37707,0.38489,0.22384,1.2648,0.90944,0.90525,0.0062776,0.0062776,0.0062776
190,1.2796,0.88224,0.90839,0.47952,0.37834,0.38532,0.22412,1.2645,0.9091,0.90518,0.0062578,0.0062578,0.0062578
